partnerid,country,stream,latitude,longitude,chnl_width_up,chnl_width_down,water_depth_up,water_depth_down,deploy_time,biome,biome_short
CIA,EC,5,0.0329139,-76.9713944,1.31,1.56,10,11,14,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CIA,EC,6,0.018075,-76.9699278,2.7,1.5,12,23,14,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CIA,EC,7,-0.1043667,-77.0265472,4.95,4.8,25,35,14,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CIA,EC,8,-0.1732917,-76.9973806,1.57,1.49,18,20,14,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CJP,US,1,38.900133,-76.566115,1.75,1.73,12.25,13.5,29,Temperate Broadleaf & Mixed Forests,temp_broad
CJP,US,2,38.896192,-76.561593,1.65,0.98,13,6.25,29,Temperate Broadleaf & Mixed Forests,temp_broad
CJP,US,3,38.890213,-76.565283,2.8,4.45,11.25,9.5,29,Temperate Broadleaf & Mixed Forests,temp_broad
CJP,US,4,38.888142,-76.566013,1.88,2.25,14.25,12.1,29,Temperate Broadleaf & Mixed Forests,temp_broad
CL,US,1,47.3738194,-123.3230194,2.2,2.24,9.75,7,30,Temperate Conifer Forests,temp_conif
CL,US,2,47.0849194,-122.9747778,2.77,2.2,6.2,5.1,32,Temperate Conifer Forests,temp_conif
CL,US,3,47.0101917,-122.9927778,1.05,0.81,5.5,4.4,32,Temperate Conifer Forests,temp_conif
CL,US,4,47.0807222,-122.9819056,1.54,1.46,10,14,30,Temperate Conifer Forests,temp_conif
CLAR,US,1,47.356011,-120.835682,2.2,1.8,14,17,35,Temperate Conifer Forests,temp_conif
CLAR,US,2,47.368016,-120.784082,2,2,9,16,35,Temperate Conifer Forests,temp_conif
CLAR,US,3,47.368359,-120.78471,2.7,1.9,18,18,35,Temperate Conifer Forests,temp_conif
CLAR,US,4,47.365879,-120.8027,5.1,4.5,15,14,35,Temperate Conifer Forests,temp_conif
CPW,TW,1,24.76606,121.58664,2.5,2.6,32,16,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CPW,TW,2,24.76852,121.60186,3.8,3.9,35,26,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CPW,TW,3,24.757452,121.57346,1.2,1,14,21,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CPW,TW,4,24.758251,121.60513,1.5,1.7,17,17,27,Tropical & Subtropical Moist Broadleaf Forests,trop_wet
CR,CH,1,46.4911111,9.8991667,1.5,1.5,20,20,23,Temperate Conifer Forests,temp_conif
CR,CH,2,46.4911111,9.8991667,1,20,1,20,23,Temperate Conifer Forests,temp_conif
CR,CH,3,46.4911111,9.8991667,1.2,20,1.2,20,23,Temperate Conifer Forests,temp_conif
CR,CH,4,46.4911111,9.8991667,1.2,20,1.2,20,23,Temperate Conifer Forests,temp_conif
CS,US,1,39.2358333,-76.7583333,1.1,0.9,11,13,28,Temperate Broadleaf & Mixed Forests,temp_broad
CS,US,2,39.2422222,-76.7513889,1.1,0.3,14,16,28,Temperate Broadleaf & Mixed Forests,temp_broad
CS,US,3,39.2333333,-76.7416667,1,0.8,14,15,28,Temperate Broadleaf & Mixed Forests,temp_broad
CS,US,4,39.2358333,-76.7583333,0.6,1.9,10,6,28,Temperate Broadleaf & Mixed Forests,temp_broad
CVB,US,1,42.85313,-112.45033,1,1.8,10,5,28,Deserts & Xeric Shrublands,desert
CVB,US,2,42.79242,-112.43019,2.8,2.9,15,12,28,Deserts & Xeric Shrublands,desert
CVB,US,3,42.79827,-112.38396,4.1,4.2,12,10,28,Deserts & Xeric Shrublands,desert
CVB,US,4,42.70785,-112.42268,2.4,2.9,13,8,28,Deserts & Xeric Shrublands,desert
CYO,JP,1,37.3688556,140.1720417,2.23,2.9,25,15,36,Temperate Broadleaf & Mixed Forests,temp_broad
CYO,JP,2,37.3683583,140.1721389,0.95,1.7,14,12,36,Temperate Broadleaf & Mixed Forests,temp_broad
CYO,JP,3,37.3998722,140.17075,2.3,3.7,22,22,36,Temperate Broadleaf & Mixed Forests,temp_broad
CYO,JP,4,37.3983667,140.16295,2.05,2,35,19,35,Temperate Broadleaf & Mixed Forests,temp_broad
DAAL,US,1,33.7873333,-111.5078056,2.42,3.21,10.5,22.2,32,Temperate Conifer Forests,temp_conif
DAAL,US,2,33.9797778,-111.3043611,10.43,9.8,24,57,32,Temperate Conifer Forests,temp_conif
DAAL,US,3,33.7060833,-110.8193611,30.2,33.7,5.9,6.6,32,Temperate Conifer Forests,temp_conif
DAAL,US,4,33.6853889,-110.8436111,2.65,1.63,14.29,22.5,32,Temperate Conifer Forests,temp_conif
DACO,US,1,41.6051833,-81.2673333,3.2,3.9,17,14,28,Temperate Broadleaf & Mixed Forests,temp_broad
DACO,US,2,41.17405,-81.2020667,7.8,9.4,13,12,28,Temperate Broadleaf & Mixed Forests,temp_broad
DACO,US,3,41.1280667,-81.128,2.1,1.2,13,10,26,Temperate Broadleaf & Mixed Forests,temp_broad
DACO,US,4,41.1453167,-81.3004333,13.4,13.8,27,18,26,Temperate Broadleaf & Mixed Forests,temp_broad
DAGI,DE,1,51.70275,10.445961,7.6,5.1,18.5,32,43,Temperate Broadleaf & Mixed Forests,temp_broad
DAGI,DE,2,51.697547,10.383178,3.8,3.8,17.5,11,43,Temperate Broadleaf & Mixed Forests,temp_broad
DAGI,DE,3,51.680758,10.320715,4.1,3.3,15.5,17.5,43,Temperate Broadleaf & Mixed Forests,temp_broad
DAGI,DE,4,51.650969,10.456585,4.6,4.9,19.5,19,43,Temperate Broadleaf & Mixed Forests,temp_broad
DEBR,US,1,44.575807,-69.886754,2,2,20,10,40,Temperate Broadleaf & Mixed Forests,temp_broad
DEBR,US,2,44.582896,-69.91859,3,2,15,10,40,Temperate Broadleaf & Mixed Forests,temp_broad
DEBR,US,3,44.547462,-69.919439,4,2,30,15,40,Temperate Broadleaf & Mixed Forests,temp_broad
DEBR,US,4,44.512941,-69.924809,2.5,1.5,15,10,40,Temperate Broadleaf & Mixed Forests,temp_broad
DJ,US,1,40.494362,-79.076763,9.23,10.82,15,30,28,Temperate Broadleaf & Mixed Forests,temp_broad
DJ,US,2,40.579405,-79.000631,5.05,3.9,26,19,28,Temperate Broadleaf & Mixed Forests,temp_broad
DJ,US,3,40.66787,-79.014904,10.73,8.02,13,14,28,Temperate Broadleaf & Mixed Forests,temp_broad
DJ,US,4,40.825462,-78.970213,9.11,20.64,25,22,28,Temperate Broadleaf & Mixed Forests,temp_broad
EC,FR,1,43.4283333,2.2202222,2.3,2.8,11,8,30,Temperate Broadleaf & Mixed Forests,temp_broad
EC,FR,2,43.4148611,2.2185556,1.6,1.5,12,9,30,"Mediterranean Forests, Woodlands & Scrub",mediter
EC,FR,3,43.4205,2.2419444,1.8,1.2,15,19,30,Temperate Broadleaf & Mixed Forests,temp_broad
EC,FR,4,43.4185278,2.1880278,1,1.4,5,8,30,Temperate Broadleaf & Mixed Forests,temp_broad
ED,IE,1,53.989981,-9.523651,1,1,0.3,0.3,33,Temperate Broadleaf & Mixed Forests,temp_broad
ED,IE,2,53.988612,-9.566631,1,1,0.3,0.3,33,Temperate Broadleaf & Mixed Forests,temp_broad
ED,IE,3,54.01933,-9.540346,1.5,1.5,0.3,0.3,33,Temperate Broadleaf & Mixed Forests,temp_broad
