,str.part,biome_short,Stream.index,k
150,DEBR 4,temp_broad,158,0.005649686
151,DJ 1,temp_broad,159,0.009127453
152,DJ 2,temp_broad,160,0.004316614
153,DJ 3,temp_broad,161,0.00287851
154,DJ 4,temp_broad,162,0.003813784
155,EC 1,temp_broad,163,0.009431223
25,EC 2,mediter,164,0.006092859
156,EC 3,temp_broad,165,0.005739139
157,EC 4,temp_broad,166,0.006771054
158,ED 1,temp_broad,167,0.056997181
159,ED 2,temp_broad,168,0.007516042
160,ED 3,temp_broad,169,0.038567415
161,ED 4,temp_broad,170,0.020169837
401,EG 1,trop_grass,171,0.026996485
402,EG 2,trop_grass,172,0.020279381
403,EG 3,trop_grass,173,0.0425958
404,EG 4,trop_grass,174,0.028130351
162,EP 1,temp_broad,175,0.027235254
163,EP 2,temp_broad,176,0.050123367
164,EP 4,temp_broad,177,0.053533523
41,EQ 1,mont_grass,178,0.033612812
42,EQ 2,mont_grass,179,0.004162532
43,EQ 3,mont_grass,180,0.004069098
44,EQ 4,mont_grass,181,0.003767147
165,FB 1,temp_broad,182,0.02810243
166,FB 2,temp_broad,183,0.010328646
167,FB 3,temp_broad,184,0.012433331
168,FB 4,temp_broad,185,0.02200738
26,FC 1,mediter,186,0.003883929
27,FC 2,mediter,187,0.055740654
28,FC 3,mediter,188,0.014005934
456,FG 1,trop_wet,189,0.089204268
457,FG 2,trop_wet,190,0.039143517
458,FG 3,trop_wet,191,0.07822395
459,FG 4,trop_wet,192,0.083453072
405,FM 1,trop_grass,193,0.0886188
406,FM 2,trop_grass,194,0.010851415
407,FM 3,trop_grass,195,0.041989992
408,FM 4,trop_grass,196,0.013691628
169,FRGU 1,temp_broad,197,0.026147236
170,FRGU 2,temp_broad,198,0.015110349
171,FRGU 3,temp_broad,199,0.057459655
172,FRGU 4,temp_broad,200,0.055251362
409,GESI 1,trop_grass,201,0.110449418
410,GESI 2,trop_grass,202,0.081190619
411,GESI 3,trop_grass,203,0.03810213
346,GR 1,temp_conif,204,0.003863265
347,GR 2,temp_conif,205,0.012853512
348,GR 3,temp_conif,206,0.022274905
173,GS 1,temp_broad,207,0.161298489
174,GS 2,temp_broad,208,0.076538699
175,GS 4,temp_broad,209,0.085790939
52,HL 1,taiga,210,0.002487585
53,HL 2,taiga,211,0.003482947
54,HL 3,taiga,212,0.003002641
55,HL 4,taiga,213,0.003206993
176,HPG 1,temp_broad,214,0.018181726
177,HPG 2,temp_broad,215,0.021411907
178,HPG 3,temp_broad,216,0.05777869
179,HPG 4,temp_broad,217,0.005634174
29,IP 1,mediter,218,0.031196341
30,IP 2,mediter,219,0.003468072
31,IP 3,mediter,220,0.004154323
32,IP 4,mediter,221,0.009399414
56,JA 1,taiga,222,0.01620761
57,JA 2,taiga,223,0.003760901
58,JA 3,taiga,224,0.003219588
59,JA 4,taiga,225,0.003020393
180,JARU 1,temp_broad,226,0.005649588
181,JARU 2,temp_broad,227,0.006773847
182,JARU 3,temp_broad,228,0.004887747
183,JARU 4,temp_broad,229,0.004490177
184,JC 1,temp_broad,230,0.076007791
185,JC 2,temp_broad,231,0.04613813
186,JC 3,temp_broad,232,0.09027646
187,JC 4,temp_broad,233,0.135839148
507,JESM 1,tund,234,0.001778
512,JESM 2,tund,235,0.002880679
513,JESM 3,tund,236,0.002130576
